ar: Arabic
az: Azerbaijani
bg: Bulgarian
bn: Bengali
ca: Catalan
cs: Czech
da: Danish
de: German
el: Greek
en: English
es: Spanish
et: Estonian
eu: Basque
fa: Persian
fi: Finnish
fr: French
ga: Irish
gl: Galician
he: Hebrew
hi: Hindi
hu: Hungarian
id: Indonesian
it: Italian
ja: Japanese
ko: Korean
ky: Kyrgyz
lt: Lithuanian
lv: Latvian
ms: Malay
nb: Norwegian Bokmål
nl: Dutch
pt-BR: Portuguese (Brazil)
pl: Polish
pt: Portuguese (Portugal)
ro: Romanian
ru: Russian
sk: Slovak
sl: Slovenian
sq: Albanian
sv: Swedish
th: Thai
tl: Tagalog
tr: Turkish
zh: Chinese (Simplified)
